"";"SampleID";"Observed";"Chao1";"se.chao1";"ACE";"se.ACE";"Shannon";"Simpson";"InvSimpson";"Fisher";"PD";"SR";"Date";"Individual_ID";"Source";"Species";"Sex";"DevStage";"Phase";"LakeOrigin";"Cage_ID";"is.neg";"Lake_transfer";"LakeOrigin2";"Lake_transfer2";"Raref";"Status";"Total_lenght";"Final_lake";"Transfer"
"43";"347";38;38;0,493377191032965;38,515625;1,44176970969356;1,95976081096085;0,71216143;3,47416956664286;4,52726066270529;2,600499515;38;"D0";"R10";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"R10";FALSE;"INI";"LL";"INI";"High";"INI";51;"LL";"NOT TR"
"44";"348";87;89,1;2,33471205058505;90,2806773036012;4,67018894604788;1,79245465939467;0,627031105;2,68118873559148;11,6844155029985;12,937292502;87;"D0";"R11";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"R11";FALSE;"INI";"SP";"INI";"High";"INI";30;"SP";"NOT TR"
"45";"350";52;52;0,165056322943381;52,3470905663263;3,02639802258333;2,38079767712588;0,824530225;5,69898719024402;6,47042264960593;3,380392102;52;"D0";"R13";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"R13";FALSE;"INI";"LL";"INI";"High";"INI";50;"LL";"NOT TR"
"46";"353";20;20,25;0,733584500337761;21,6562860438293;2,08124466261198;0,613344690107793;0,24182811;1,31896211556986;2,19341073745188;2,669946761;20;"D0";"R16";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"R16";FALSE;"INI";"LL";"INI";"High";"INI";41;"LL";"NOT TR"
"47";"362";43;43,5;1,29405137669153;44,0480936560671;2,65321194332621;1,97324407589859;0,74234137;3,8811042347;5,21013718429074;4,199449481;43;"D0";"B1";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B1";FALSE;"INI";"BL";"INI";"High";"INI";48;"BL";"NOT TR"
"48";"364";81;86;5,53529898774411;83,9991111111111;4,3003492961223;2,70126528189176;0,880824205;8,39096563190537;10,7594916150601;9,850123429;81;"D0";"B3";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B3";FALSE;"INI";"SP";"INI";"High";"INI";37;"SP";"NOT TR"
"49";"365";79;82;3,41795831226629;82,9105571847507;4,08038725065457;2,38344748562895;0,762636545;4,21294845072086;10,4538261115369;8,264863196;79;"D0";"B4";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B4";FALSE;"INI";"BL";"INI";"High";"INI";42;"BL";"NOT TR"
"50";"366";90;93;3,18252787128803;93,6842034249811;4,64066558443424;2,84147194304729;0,887357885;8,87767421625562;12,151217471994;5,1809916;90;"D0";"B5";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B5";FALSE;"INI";"LL";"INI";"High";"INI";48;"LL";"NOT TR"
"51";"368";80;82,8;2,8284298575247;85,0525115535784;4,51141063608171;1,70803836588968;0,588597355;2,43070872818525;10,6064907521084;8,308805385;80;"D0";"B7";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B7";FALSE;"INI";"BL";"INI";"High";"INI";49;"BL";"NOT TR"
"52";"369";40;41;1,81345468269236;41,6471893974016;2,86916416603091;1,72476377105022;0,71276589;3,48148066397824;4,79883650933378;2,982172336;40;"D0";"B8";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B8";FALSE;"INI";"LL";"INI";"High";"INI";59;"LL";"NOT TR"
"53";"371";73;73;0,24828176658071;73,377845679156;3,3456364783685;3,04794681255566;0,906658045;10,7132960735609;9,54505219496047;5,773808378;73;"D0";"B10";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B10";FALSE;"INI";"BL";"INI";"High";"INI";32;"BL";"NOT TR"
"54";"372";45;46;2,32659482468712;45,8738738738739;2,36688775940717;2,35334900097933;0,817487665;5,47908172891438;5,48686505152073;2,081533652;45;"D0";"B11";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B11";FALSE;"INI";"LL";"INI";"High";"INI";36;"LL";"NOT TR"
"55";"373";52;55,5;3,65952758455817;56,9776446692509;3,7818973418642;0,716090099362514;0,25763978;1,34705493783059;6,47042264960593;6,680253904;52;"D0";"B12";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B12";FALSE;"INI";"SP";"INI";"High";"INI";32;"SP";"NOT TR"
"56";"374";76;78;2,58449518951291;78,7470699432892;3,44987507625346;2,88917620421454;0,884701605;8,67314761840353;9,99787642527983;7,16384216;76;"D0";"B13";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B13";FALSE;"INI";"BL";"INI";"High";"INI";39;"BL";"NOT TR"
"57";"375";23;23,3333333333333;0,921715293836669;24,2744086021505;2,32815971317266;0,749110222697646;0,29407518;1,4165814427661;2,56667671045798;2,142457029;23;"D0";"B14";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B14";FALSE;"INI";"LL";"INI";"High";"INI";56;"LL";"NOT TR"
"58";"377";59;59,3333333333333;0,924497441580845;59,6655649038462;3,19618092140492;1,99879040090375;0,723705815;3,61933060589024;7,47573724074066;3,580892324;59;"D0";"B16";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B16";FALSE;"INI";"BL";"INI";"High";"INI";36;"BL";"NOT TR"
"59";"378";53;53,6;1,18503542361563;54,3733121787562;3,46355786197957;1,85749921922305;0,74321834;3,89435912206503;6,61275153055151;6,770346223;53;"D0";"B17";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B17";FALSE;"INI";"LL";"INI";"High";"INI";52;"LL";"NOT TR"
"60";"379";118;125,8;5,79412157562027;125,911073388527;5,41381520397328;2,48216413400078;0,763370365;4,226013364725;16,6368230405116;15,562683218;118;"D0";"B18";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B18";FALSE;"INI";"SP";"INI";"High";"INI";33;"SP";"NOT TR"
"61";"381";77;77,4615384615385;0,875295356199399;78,7440744897535;4,39615391319356;1,98584499522059;0,779401385;4,53312002888141;10,1495161976283;11,141580937;77;"D0";"B20";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B20";FALSE;"INI";"LL";"INI";"High";"INI";50;"LL";"NOT TR"
"62";"382";36;36;0,123251662147909;36,32861328125;2,61582347691728;0,990867204656535;0,37886889;1,6099660504849;4,25787026310183;5,110480564;36;"D0";"B21";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B21";FALSE;"INI";"SP";"INI";"High";"INI";18;"SP";"NOT TR"
"63";"388";45;45;0,0988826464946088;45,3976264017586;3,09538688998464;1,92398121430539;0,70384084;3,37656279143958;5,48686505152073;3,820261172;45;"D0";"S3";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S3";FALSE;"INI";"LL";"INI";"High";"INI";58;"LL";"NOT TR"
"64";"389";116;116;0,0622300203361246;116,265537851324;5,25881030259669;2,87946736112787;0,852770575;6,79212052889563;16,3091383851766;16,511439517;116;"D0";"S4";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"S4";FALSE;"INI";"SP";"INI";"High";"INI";34;"SP";"NOT TR"
"65";"390";261;264,25;2,62063288636781;266,168395027019;8,05510761824147;2,93929883856186;0,843040425;6,37106719994623;42,377029182473;29,77525931;261;"D0";"S5";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S5";FALSE;"INI";"BL";"INI";"High";"INI";46;"BL";"NOT TR"
"66";"391";30;30;0;30;1,36626010212795;1,28898570899566;0,54751418;2,21001400662677;3,46367058898066;1,601948564;30;"D0";"S6";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S6";FALSE;"INI";"LL";"INI";"High";"INI";42;"LL";"NOT TR"
"67";"392";106;108,8;2,8286657632177;109,184474253822;5,14085571613157;1,84481478722449;0,586803035;2,42015330388499;14,6870197624949;9,695110518;106;"D0";"S7";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"S7";FALSE;"INI";"SP";"INI";"High";"INI";33;"SP";"NOT TR"
"68";"393";81;83,1428571428571;2,53035814813307;85,1801818445743;4,10702639236867;2,73700639262688;0,8464937;6,51439061458715;10,7594916150601;7,099329658;81;"D0";"S8";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S8";FALSE;"INI";"BL";"INI";"High";"INI";41;"BL";"NOT TR"
"69";"395";124;125;1,44966202957793;125,999558596113;5,23353945576661;3,26443165444594;0,926472765;13,6004026263194;17,6262005611788;13,021252968;124;"D0";"S10";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"S10";FALSE;"INI";"SP";"INI";"High";"INI";37;"SP";"NOT TR"
"70";"396";94;95,1111111111111;1,57523049110285;96,3078457607297;4,56789698112187;2,59406776918743;0,85748818;7,01696182113175;12,777985551819;11,930794052;94;"D0";"S11";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S11";FALSE;"INI";"BL";"INI";"High";"INI";43;"BL";"NOT TR"
"71";"397";36;36;0;36;1,37436854187255;2,04224899645247;0,768860875;4,32639865708586;4,25787026310183;1,34981309;36;"D0";"S12";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S12";FALSE;"INI";"LL";"INI";"High";"INI";47;"LL";"NOT TR"
"72";"399";57;57;0;57;2,62244027242874;1,80910017793627;0,60262706;2,51652767297139;7,18639225782137;4,320431932;57;"D0";"S14";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S14";FALSE;"INI";"BL";"INI";"High";"INI";31;"BL";"NOT TR"
"73";"402";53;53,1666666666667;0,542967362763362;53,8086923144687;3,60778009027813;1,30878148280501;0,536674595;2,15831031324518;6,61275153055151;6,450024304;53;"D0";"S17";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S17";FALSE;"INI";"BL";"INI";"High";"INI";38;"BL";"NOT TR"
"74";"405";87;91,6666666666667;4,49094612324958;93,7137254901961;4,30725573720671;3,02249889506435;0,90480161;10,5043793282639;11,6844155029985;8,751289426;87;"D0";"S20";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S20";FALSE;"INI";"BL";"INI";"High";"INI";36;"BL";"NOT TR"
"75";"444";160;162,8;2,82891493423887;163,054717740819;6,18172734452401;2,76896051556833;0,83558277;6,08208762548791;23,748966489912;21,128076551;160;"D15";"B10";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B10";FALSE;"CTRL";"CTRL";"BL";"High";"CTRL";41;"BL";"NOT TR"
"76";"446";147;151,5;4,10690224373602;150,389363839286;5,94274860110594;2,96157668827893;0,83354321;6,00756508641071;21,5025796572507;20,785373502;147;"D15";"B12";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B12";FALSE;"BL";"SP";"BL";"High";"TR";33;"BL";"TR"
"77";"454";370;381,117647058824;5,74126485043374;381,640922580764;9,62019790576656;4,08095619643484;0,954724215;22,0868616634698;64,4509410031919;38,324987772;370;"D15";"S1";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"S1";FALSE;"CTRL";"CTRL";"SP";"High";"CTRL";38;"SP";"NOT TR"
"78";"455";935;967,939024390244;10,2694713713119;964,603309972246;15,2110164351738;5,65575976251384;0,98652679;74,2213622440384;203,311046362666;92,958090179;935;"D15";"S2";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S2";FALSE;"SP";"BL";"SP";"High";"TR";43;"SP";"TR"
"79";"459";75;79;3,88925750591298;80,4543563908224;4,17910213615111;2,10744156560331;0,698079655;3,31213188034745;9,84658388164762;10,642536386;75;"D15";"S10";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"S10";FALSE;"CTRL";"CTRL";"SP";"High";"CTRL";36;"SP";"NOT TR"
"80";"460";251;254,076923076923;2,41669630614785;257,083684919725;7,61476890910762;2,96322264455089;0,88449349;8,65752068866075;40,4480696474543;31,563607081;251;"D15";"S11";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S11";FALSE;"SP";"BL";"SP";"High";"TR";41;"SP";"TR"
"81";"462";324;327,5;2,77973790822623;328,591261774428;8,98297667351353;3,28104807990515;0,856018755;6,94534902792374;54,9103445294083;43,835905418;324;"D15";"S14";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S14";FALSE;"SP";"BL";"SP";"High";"TR";34;"SP";"TR"
"82";"467";198;200,538461538462;2,26359506393674;203,217315180449;7,03922153069172;3,31334618870701;0,90470037;10,4932201730479;30,5251105087596;27,133372679;198;"D15";"S21";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S21";FALSE;"SP";"LL";"SP";"High";"TR";46;"SP";"TR"
